Date,AM12,AM1,AM2,AM3,AM4,AM5,AM6,AM7,AM8,AM9,AM10,AM11,PM12,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,PM9,PM10,PM11
8/13/98,30868,28337,26308,25245,24622,24708,25832,28144,30520,32511,34472,35953,37056,37902,38672,39272,39295,39428,39020,37496,35913,36243,35411,32576
8/14/98,29900,27598,25794,24880,24315,24481,25720,28110,30627,32923,34605,35942,36750,37361,37850,37767,37550,37039,36206,34498,33625,33966,32966,30615
8/15/98,28451,25982,24611,23644,22885,22682,23101,23762,25156,27634,30073,32149,33292,34111,34437,34727,35129,35216,34952,34042,32822,33350,32997,30877
8/16/98,28768,26581,24941,23959,23248,22937,22962,23041,24071,26194,28723,30837,32590,33579,33953,34400,34805,35408,35466,34946,34196,35582,35197,33277
8/17/98,30867,28771,27334,26682,26357,26512,27790,30452,33289,35850,37573,39071,39903,40627,41124,41657,41721,41529,41096,39933,39007,39324,38475,35333
8/18/98,32188,29137,27557,26512,25773,25919,27478,29733,32043,34743,37448,39778,41660,42695,43831,44024,43569,43034,42060,40456,38963,38968,37443,34268
8/19/98,30571,27543,25327,23927,23006,22879,24022,26378,27820,29297,30502,31349,32020,32070,32388,32656,32732,32767,32395,31131,30180,30985,30222,27605
8/20/98,25115,22719,21448,20995,20518,20749,22108,24595,26448,28584,29971,31311,32026,32472,32971,33370,33720,33715,33713,32811,31441,32120,31309,28545
8/21/98,25923,23288,22040,21517,21127,21340,22649,24825,27337,29754,31496,32894,34049,34502,35419,36656,37153,37777,37435,36463,35380,35787,34690,32221
8/22/98,29678,27145,25218,24121,23429,23113,23383,23878,25445,27956,30742,32787,34531,35547,36338,36565,36919,37167,37069,36348,35251,35795,34675,32577
8/23/98,30197,28122,26247,24976,24337,23818,23784,23867,24762,27056,29838,32319,34353,35648,36795,37654,38820,39471,39699,39169,38223,39174,38372,36037
8/24/98,33044,30877,29180,28179,27658,27539,28933,31327,33894,37198,40098,42258,44338,45889,46420,47126,46807,46591,46329,44887,44134,44479,42707,39390
8/25/98,35651,32532,30728,29478,28647,28586,29601,31996,34654,37621,40320,42601,44049,45513,46095,46212,46101,45630,44817,44089,43051,43591,41934,38856
8/26/98,35778,32807,30839,29803,29065,28931,30146,32591,35088,37596,40080,42056,44138,45386,46612,46910,47073,47013,46394,45170,44101,44457,42803,39225
8/27/98,36106,33085,30929,29890,29171,28762,29835,32229,34265,36387,37884,39331,40472,41214,41652,42311,42352,42410,42096,40974,39939,40533,39342,36346
8/28/98,33263,30714,28557,27515,26899,26783,28169,30817,33231,35241,37919,39478,40810,41359,42071,42734,42718,42657,41759,40299,38957,39110,37475,34633
8/29/98,32020,29178,27114,25790,24945,24630,24862,25542,26882,29753,32932,35666,37526,38613,39276,39391,39032,38921,38317,37172,36377,37035,35815,33262
8/30/98,30752,28213,26348,25054,24186,23513,23387,23601,24384,27130,30246,32716,34604,36407,37077,37755,38135,38651,38735,37842,36968,38015,36538,33900
8/31/98,31318,28850,27374,26707,26151,26345,27645,30475,33073,35627,38176,40299,41964,42903,43657,43968,44263,44130,43443,41826,40480,40597,38110,34392
9/1/98,30868,28183,26206,25055,24420,24396,25670,28624,30706,32707,34350,35714,36622,37229,38026,38425,38678,38756,38576,37253,36220,36809,34988,31700
9/2/98,28700,26273,24955,24036,23624,23834,25304,28408,31165,32433,33850,34996,35664,36475,37147,37881,38241,38533,38186,37138,36690,36787,34850,31393
9/3/98,28342,25920,24289,23299,22757,22867,24159,27413,29498,31264,32894,34187,35131,35740,36620,37065,37293,37305,36542,35291,35227,35877,34286,31336
9/4/98,28258,26152,24628,23740,23383,23541,24932,28272,30576,32589,34367,36011,37108,37769,38445,38749,38554,38157,37278,35763,34488,34646,32862,30113
9/5/98,27304,24631,22933,21942,21279,20934,20963,21646,22463,24887,27127,28499,29192,29509,29531,29728,29923,30228,30242,29612,29123,29866,28543,26608
9/6/98,24486,22514,21097,20227,19689,19461,19684,20378,21329,22660,24926,26951,28761,30276,31486,32386,33270,34083,34298,33690,33396,34174,33112,31370
9/7/98,29154,26879,25113,24208,23413,23200,23368,23770,24351,26828,30054,32761,35321,36321,35924,34062,32764,32647,32581,32321,32877,33540,32230,29561
9/8/98,26472,24554,23435,22659,22023,22030,23484,26520,28608,30156,31337,32095,32666,32627,32626,32644,32493,32364,31563,30432,30515,31051,29587,26932
9/9/98,23742,21926,20890,20381,19962,20526,21884,25293,27371,28621,29645,30218,30427,30372,30423,30439,30299,30291,30077,29407,29856,30626,29074,26087
9/10/98,23485,21466,20574,20072,19890,20171,21640,24822,27447,28539,29499,30343,30572,30638,30915,30835,30825,30907,30677,29730,30127,30917,29551,26733
9/11/98,23905,21719,20612,20213,19887,20124,21735,25145,27503,28819,30060,31024,31354,31721,31928,32411,32431,32462,32011,30847,30470,31096,29819,27371
9/12/98,25168,22951,21526,20879,20402,20192,20637,21674,22901,25325,27557,29102,30312,30962,31758,32231,32552,32984,33009,32618,32702,33158,32026,29967
9/13/98,27857,26027,24735,23338,22067,21691,21715,22198,22736,25021,27463,29556,31087,32155,33110,33458,33760,34097,34343,34046,33924,34777,33126,30755
